Bezirk,Bezirkname,Prognoseraum,Bezirksregion,Planungsraum,Planungsraumname,total,0_6,6_15,15_18,18_27,27_45,45_55,55_65,65 _mehr,weiblich,männlich ,weiblich%,männlich%,Ausländer,6_18,0_18
1,Mitte,1,11,1,Stülerstraße,3420,162,124,30,510,1105,335,393,761,1634,1786,0.4778,0.5222,1427,154,316
1,Mitte,1,11,2,Großer Tiergarten,186,0,9,3,20,62,27,31,34,73,113,0.3925,0.6075,63,12,12
1,Mitte,1,11,3,Lützowstraße,5083,255,306,111,600,1492,650,748,921,2356,2727,0.4635,0.5365,1774,417,672
1,Mitte,1,11,4,Körnerstraße,4641,266,398,143,787,1619,609,453,366,2073,2568,0.4467,0.5533,1811,541,807
1,Mitte,1,11,5,Nördlicher Landwehrkanal,1531,106,72,19,134,545,235,191,229,710,821,0.4637,0.5363,749,91,197
1,Mitte,1,12,1,Wilhelmstraße,2403,123,141,66,282,696,310,354,431,1145,1258,0.4765,0.5235,1004,207,330
1,Mitte,1,12,2,Unter den Linden Nord,648,43,36,6,67,212,104,85,95,300,348,0.463,0.537,237,42,85
1,Mitte,1,12,3,Unter den Linden Süd,1133,72,55,18,91,368,199,149,181,518,615,0.4572,0.5428,412,73,145
1,Mitte,1,12,4,Leipziger Straße,8376,491,415,102,709,2954,1084,950,1671,4086,4290,0.4878,0.5122,2838,517,1008
1,Mitte,1,13,1,Charitéviertel,6899,444,410,85,656,2994,1022,626,662,3328,3571,0.4824,0.5176,2083,495,939
1,Mitte,1,13,2,Oranienburger Straße,12597,687,992,315,1056,4911,2329,1300,1007,6094,6503,0.4838,0.5162,3462,1307,1994
1,Mitte,1,13,3,Alexanderplatzviertel,10054,472,503,107,1237,3986,1219,1012,1518,4733,5321,0.4708,0.5292,3537,610,1082
1,Mitte,1,13,4,Karl-Marx-Allee,8732,498,549,153,807,2348,892,988,2497,4626,4106,0.5298,0.4702,2290,702,1200
1,Mitte,1,13,5,Heine-Viertel West,8529,453,410,119,744,2933,1048,916,1906,4182,4347,0.4903,0.5097,2325,529,982
1,Mitte,1,13,6,Heine-Viertel Ost,10721,625,534,117,1489,3789,1363,1193,1611,5307,5414,0.495,0.505,3219,651,1276
1,Mitte,1,14,1,Invalidenstraße,18141,1299,1447,320,1674,8061,2906,1436,998,8900,9241,0.4906,0.5094,5779,1767,3066
1,Mitte,1,14,2,Arkonaplatz,13699,1021,1129,213,1059,6187,2309,936,845,6791,6908,0.4957,0.5043,3779,1342,2363
1,Mitte,2,21,1,Huttenkiez,3626,210,220,55,557,1464,440,392,288,1615,2011,0.4454,0.5546,1391,275,485
