,Einrichtung,address,lon,lat
1,"""Kolle 37"" Abenteuerlicher Bauspielplatz",Kollwitzstraße 35 D-10405 Berlin,13.41481,52.53384
2,"""Marie"" Abenteuerspielplatz",Marienburger Straße 42 D-10405 Berlin,13.4234384,52.5352091
3,"KJFE im ""Gartenhaus an der Marie""",Winsstraße 49 D-10405 Berlin,13.42575,52.53546
4,Sportjugendclub in Prenzlauer Berg,Kollwitzstraße 8 D-10405 Berlin,13.4137499,52.53154
5,Jugendkulturzentrum Königstadt,Saarbrücker Straße 23 D-10405 Berlin,13.4134281,52.5306014
6,Dimi,Danziger Straße 111 D-10405 Berlin,13.4327517,52.5374715
7,"Jugendberufshilfeberatung Berlin-Pankow, Rathaus Prenzlauer Berg",Fröbelstraße 17 D-10405 Berlin,13.4273758,52.5405132
8,Kinderfreizeiteinrichtung Esmarchstraße,Esmarchstraße 27 D-10407 Berlin,13.4305278,52.5314165
9,JFE Pasteurstraße,Pasteurstraße 22 D-10407 Berlin,13.43413,52.53292
10,Kinder- und Jugendfreizeiteinrichtung Club Atelier 89,Hanns-Eisler-Straße 7 D-10409 Berlin,13.4436689,52.5436039
11,"mezen ""Medienkompetenzzentrum Pankow""",Hosemannstraße 14 D-10409 Berlin,13.437844,52.5456654
12,Jugendverkehrsschule Prenzlauer Berg,Thomas-Mann-Straße 65 D-10409 Berlin,13.4490407,52.541317
13,Gangway - Team Pankow Süd,Thomas-Mann-Straße 65 D-10409 Berlin,13.4490407,52.541317
14,GO-Gendereinrichtung Schönhauser Allee,Schönhauser Allee 165 D-10435 Berlin,13.41187,52.53452
15,Jugendfarm Moritzhof,Schwedter Straße 90 D-10437 Berlin,13.4003809,52.5482426
16,MACHmit! Museum für Kinder,Senefelderstraße 5 D-10437 Berlin,13.422707,52.5405501
17,Popel Bühne,Dunckerstraße 16 D-10437 Berlin,13.42174,52.54329
18,SportJugendzentrum Lychener Str.,Lychener Straße 75 D-10437 Berlin,13.4204702,52.5466461
19,Schülerklub an der Grundschule am Falkplatz,Gleimstraße 49 D-10437 Berlin,13.4061705,52.547235
20,Jugendnetzwerk lambda,Sonnenburger Straße 69 D-10437 Berlin,13.40715,52.54831
21,Spielwagen,Dunckerstraße 11 D-10437 Berlin,13.4210902,52.5425004
22,Jobteam Pankow,Schönhauser Allee 51 D-10437 Berlin,13.4127552,52.5427811
23,"""W 24"" Kinder- und Jugendzentrum",Wichertstraße 24 D-10439 Berlin,13.4220132,52.5478767
24,Fallobst,Ibsenstraße 17 D-10439 Berlin,13.40768,52.55572
25,OC23,Langhansstraße 23 D-13086 Berlin,13.4449063,52.5505607
26,Schülerklub der ISS Heinz-Brandt-Schule,Roelckestraße 171 D-13086 Berlin,13.4417589,52.5504879
27,Jugendverkehrsschule Weißensee,Rennbahnstraße 62 D-13086 Berlin,13.4544701,52.56348
28,"""Bunte Kuh"" Haus der Jugend",Bernkasteler Straße 78 D-13088 Berlin,13.4700603,52.5570588
29,MAXIM - Kinder- und Jugendkulturzentrum,Charlottenburger Straße 117 D-13088 Berlin,13.44547,52.55219
30,"""NO LIMIT"" Tanzwerkstatt",Buschallee 87 D-13088 Berlin,13.47592,52.55436
31,Mahlerstraße 20,Mahlerstraße 20 D-13088 Berlin,13.453344,52.5470117
32,FiPP-NiSCHE & Freiraum,Mahlerstraße 4 D-13088 Berlin,13.4526795,52.5482393
33,Zukunftswerkstatt Heinersdorf,Romain-Rolland-Straße 112 D-13089 Berlin,13.43797,52.57209
34,Der Alte,Wiltbergstraße 27 D-13125 Berlin,13.49297,52.63608
35,Sportjugendclub Buch,Karower Chaussee 169C D-13125 Berlin,13.497,52.62488
36,Der Würfel,Wolfgang-Heinz-Straße 45 D-13125 Berlin,13.49291,52.62946
37,"""Moorwiese"" Abenteuer- und Archäologiespielplatz",Wiltbergstraße 29B D-13125 Berlin,13.4922816,52.6365688
38,Abenteuerspielplatz INGE,Ingwäonenweg 62 D-13125 Berlin,13.4975109,52.6100414
39,"""K - vierzehn""",Achillesstraße 14 D-13125 Berlin,13.4821403,52.6225519
40,Gangway - Team Pankow Nord,Karower Chaussee 169C D-13125 Berlin,13.497,52.62488
41,"Jugendberufshilfeberatung Berlin-Pankow, Beratungshaus Buch",Franz-Schmidt-Straße 8 D-13125 Berlin,13.49562,52.63264
42,Outreach - Mobile Jugendarbeit Berlin,Bahnhofstraße 32 D-13125 Berlin,13.4797344,52.6094001
43,"SportJugendZentrum ""Buchholz""",Blankenfelder Straße 50 D-13127 Berlin,13.4234007,52.6051931
44,"""Franz B."" Aktivspielplatz",Blankenfelder Straße 106 D-13127 Berlin,13.4153144,52.6088434
45,Oktopus,Parkstraße 12 D-13127 Berlin,13.4356828,52.6062045
46,Schülerclub im Oktopus,Berliner Straße 19 D-13127 Berlin,13.4318237,52.6003991
47,"FiPP Schülerklub ""Kunterbunt""",Alt-Blankenburg 26 D-13129 Berlin,13.4544218,52.5922623
48,Der Blankenburger,Gernroder Straße 6 D-13129 Berlin,13.4581279,52.5925853
49,Kulti,Majakowskiring 58 D-13156 Berlin,13.4030183,52.575407
50,Kurt Lade Klub,Grabbeallee 33 D-13156 Berlin,13.3987337,52.5748359
51,FIPP-Schülerklub - Grundschule im Hasengrund,Charlottenstraße 19 D-13156 Berlin,13.4105767,52.5908898
52,"Kinderbauernhof Pankow ""Pinke-Panke""",Am Bürgerpark 15 D-13156 Berlin,13.3887732,52.5690764
53,Outreach - Mobile Jugendarbeit Berlin,Klothildestraße 21 D-13156 Berlin,13.4156526,52.5813742
54,Toller 31,Tollerstraße 31 D-13158 Berlin,13.3690525,52.5856335
55,Jugendverkehrsschule Pankow,Straße vor Schönholz 20 D-13158 Berlin,13.3831174,52.5727023
56,Outreach - Mobile Jugendarbeit Berlin,Hauptstraße 94 D-13158 Berlin,13.373577,52.5953715
57,Landhaus Rosenthal,Hauptstraße 94 D-13158 Berlin,13.373577,52.5953715
58,Kinder-Kiez-Klub Pankow,Brixener Straße 40 D-13187 Berlin,13.4075845,52.5597617
59,Schabracke,Pestalozzistraße 8A D-13187 Berlin,13.40447,52.57164
60,JUP - Unabhängiges Jugendzentrum Pankow,Florastraße 84 D-13187 Berlin,13.4001965,52.5659162
61,Jugendkulturzentrum m24,Mühlenstraße 24 D-13187 Berlin,13.4068054,52.5645712
62,Garage Pankow,Hadlichstraße 3 D-13187 Berlin,13.4137004,52.5686236
63,Outreach - Mobile Jugendarbeit Berlin,Hadlichstraße 3 D-13187 Berlin,13.4137004,52.5686236
64,"Familienzentrum ""Upsala""",Upsalaer Straße 6 D-13189 Berlin,13.4199466,52.5568644
65,tivolotte Mädchenclub,Berliner Straße 27 D-13189 Berlin,13.4123109,52.5636918
