Einrichtung,address,lon,lat
"""Marie"" Abenteuerspielplatz",Marienburger Straße 42 D-10405 Berlin,13.4234384,52.5352091
Jugendkulturzentrum Königstadt,Saarbrücker Straße 23 D-10405 Berlin,13.4134281,52.5306014
Dimi,Danziger Straße 111 D-10405 Berlin,13.4327517,52.5374715
Jugendfarm Moritzhof,Schwedter Straße 90 D-10437 Berlin,13.4003809,52.5482426
Jugendnetzwerk lambda,Sonnenburger Straße 69 D-10437 Berlin,13.40715,52.54831
"""W 24"" Kinder- und Jugendzentrum",Wichertstraße 24 D-10439 Berlin,13.4220132,52.5478767
OC23,Langhansstraße 23 D-13086 Berlin,13.4449063,52.5505607
"""Bunte Kuh"" Haus der Jugend",Bernkasteler Straße 78 D-13088 Berlin,13.4700603,52.5570588
MAXIM - Kinder- und Jugendkulturzentrum,Charlottenburger Straße 117 D-13088 Berlin,13.44547,52.55219
Mahlerstraße 20,Mahlerstraße 20 D-13088 Berlin,13.453344,52.5470117
Der Alte,Wiltbergstraße 27 D-13125 Berlin,13.49297,52.63608
Sportjugendclub Buch,Karower Chaussee 169C D-13125 Berlin,13.497,52.62488
"""K - vierzehn""",Achillesstraße 14 D-13125 Berlin,13.4821403,52.6225519
"SportJugendZentrum ""Buchholz""",Blankenfelder Straße 50 D-13127 Berlin,13.4234007,52.6051931
Kurt Lade Klub,Grabbeallee 33 D-13156 Berlin,13.3987337,52.5748359
JUP - Unabhängiges Jugendzentrum Pankow,Florastraße 84 D-13187 Berlin,13.4001965,52.5659162
Jugendkulturzentrum m24,Mühlenstraße 24 D-13187 Berlin,13.4068054,52.5645712
Garage Pankow,Hadlichstraße 3 D-13187 Berlin,13.4137004,52.5686236
