point id,longitude,latitude
0,13.34762576,52.58998041
1,13.3511019,52.5906322
2,13.36080077,52.59138826
3,13.36603644,52.59235287
4,13.37298873,52.59357816
5,13.36457732,52.58257542
6,13.3745766,52.58531333
7,13.38818076,52.58893753
8,13.41911033,52.59530558
9,13.42357352,52.58593294
10,13.432142,52.592996
11,13.42863753,52.58340367
12,13.43226388,52.58148708
13,13.43391612,52.58056134
14,13.43378738,52.57976598
15,13.43297198,52.57910099
16,13.43024686,52.5771842
17,13.42704633,52.5650426
18,13.42910494,52.5564617
19,13.45448937,52.56734056
20,13.48581757,52.56349283
